word,level,encoded_level
availability,B2,3
available,B1,2
avenue,B1,2
average,A2,1
averse,C2,5
avian,C2,5
avid,C1,4
avoid,A2,1
await,B2,3
awake,A1,0
award,B1,2
aware,B1,2
awareness,B1,2
away,A1,0
awe,C1,4
awesome,B1,2
awful,B1,2
awfully,C2,5
awkward,B2,3
ax,B2,3
axe,B2,3
axiom,C2,5
axiomatic,C2,5
axis,C1,4
babble,C2,5
babe,C1,4
baby,A1,0
babysit,B1,2
babysitter,B1,2
bachelor,B1,2
back,B1,2
backache,B1,2
background,A2,1
backing,C1,4
backpack,B1,2
backpacker,B1,2
backpacking,B1,2
backup,B2,3
backward,B2,3
backwards,B2,3
backyard,B2,3
bacon,B1,2
bacteria,B2,3
bacterium,B2,3
bad,A1,0
badge,B2,3
badly,A2,1
badminton,A2,1
bad-tempered,B2,3
bag,A1,0
baggage,B1,2
bake,A2,1
baked beans,C2,5
baker,B1,2
bakery,B1,2
balance,B2,3
balanced,B2,3
balcony,A2,1
bald,C1,4
baldly,C1,4
balky,B2,3
ball,A1,0
ballad,B2,3
ballet,B2,3
balloon,A2,1
ballot,B2,3
ban,B2,3
banana,A1,0
band,A1,0
bandage,B1,2
bandit,C2,5
bang,B1,2
banish,C2,5
banishment,C2,5
bank,A2,1
bank account,B1,2
banker,B2,3
banking,A2,1
bankrupt,B2,3
bankruptcy,B2,3
banner,C1,4
baptise,C2,5
baptism,C2,5
baptist,C2,5
bar,B1,2
barbecue,B1,2
barber,A2,1
barbershop,B2,3
bare,B2,3
barely,B1,2
bargain,B2,3
bark,B2,3
barley,B2,3
barman,B1,2
barn,B2,3
barometer,C2,5
baroque,C2,5
barrel,B1,2
barren,B2,3
barrier,B2,3
bartender,B2,3
base,B1,2
baseball,A1,0
basement,B1,2
bash,C1,4
basic,A2,1
basically,A2,1
basics,C2,5
basin,B1,2
basis,B1,2
basket,A2,1
basketball,A1,0
bass,C1,4
bastard,B2,3
bat,B1,2
batch,A2,1
bath,A1,0
bathe,B1,2
bathhouse,B2,3
bathroom,A1,0
battalion,C2,5
batter,C1,4
battered,C1,4
battery,C1,4
battle,B1,2
battlefield,B2,3
bauble,C2,5
bay,A2,1
be,A1,0
be about to,C2,5
be born,A1,0
beach,A1,0
beagle,B2,3
beak,B2,3
beam,B2,3
bean,A1,0
bear,A2,1
beard,B1,2
bearded,C1,4
bearing,B2,3
beast,B1,2
beat,B2,3
beating,C1,4
beautiful,A1,0
beautifully,B1,2
beautify,B2,3
beauty,A2,1
beaver,B1,2
because,A1,0
because of,B1,2
become,A1,0
bed,A1,0
bedroom,A1,0
bedside,B1,2
bee,A1,0
beef,A1,0
been,A2,1
beep,C1,4
beer,A2,1
beetle,C2,5
before,A2,1
beforehand,C1,4
beg,A2,1
begin,A1,0
beginner,A2,1
beginning,A2,1
beguiling,C1,4
beguilingly,C1,4
behalf,B1,2
behave,B1,2
behavior,A2,1
behaviour,A2,1
behest,C2,5
behind,C1,4
being,A2,1
belgium,B1,2
belief,B1,2
believably,C1,4
believe,A1,0
believe in,C2,5
believer,C1,4
bell,A1,0
belligerence,C2,5
belligerent,C2,5
bellow,B2,3
belly,A2,1
belong,A2,1
belong to,A2,1
belongings,B2,3
beloved,B1,2
below,A1,0
belt,A2,1
bench,A2,1
bend,B2,3
beneath,B1,2
beneficial,B2,3
beneficiary,C2,5
benefit,B2,3
benevolence,B2,3
benevolent,B2,3
benign,C1,4
benignly,C1,4
bent,B1,2
bequeath,C1,4
bereft,C2,5
bereftly,C2,5
berry,B2,3
beside,A1,0
besides,B1,2
besiege,C2,5
best,A1,0
bestow,B2,3
bestseller,B2,3
bet,B1,2
betray,B2,3
betrayal,C2,5
better,A2,1
between,A1,0
bewilder,B2,3
bewilderment,B2,3
beyond,A2,1
bias,B2,3
bible,A2,1
biblical,C1,4
bibliography,C2,5
bicycle,A1,0
bid,B2,3
bidding,B2,3
big,A1,0
bike,A1,0
bikini,B2,3
bilateral,C2,5
bilingual,B1,2
bill,B1,2
billiards,C1,4
billion,B2,3
bin,B1,2
bind,B2,3
binding,C1,4
bingo,C2,5
bio,B2,3
biochemistry,B1,2
biography,B1,2
biological,B2,3
biology,B1,2
biotechnology,B2,3
bird,A1,0
birdcage,B2,3
birth,A1,0
birthday,A1,0
birthplace,B2,3
biscuit,A1,0
bishop,B1,2
bit,A2,1
bitch,C1,4
bite,B1,2
bitter,B1,2
bitterly,B2,3
bitterness,C2,5
bizarre,B2,3
black,A1,0
blackboard,A2,1
blade,B2,3
blame,B1,2
blandishment,C2,5
blank,A1,0
blanket,A2,1
blankness,C1,4
blast,B2,3
blaze,B2,3
bleed,B1,2
bleeding,C2,5
blend,B2,3
bless,B1,2
blessing,B1,2
blight,C2,5
blimey,B2,3
blind,B1,2
blindly,B2,3
blindness,B2,3
blink,B2,3
bliss,C1,4
blister,C1,4
blithely,C1,4
blitz,C2,5
block,B1,2
blockbuster,C1,4
blog,B1,2
blogger,B1,2
bloke,B2,3
blonde,A2,1
blood,A2,1
bloodstream,B2,3
bloody,B2,3
bloom,C1,4
blooming,B2,3
blossom,B2,3
blow,A2,1
blow up,B1,2
blubber,C2,5
blubbery,C2,5
blue,A1,0
blur,B2,3
blurb,C2,5
blurt,B2,3
blush,B2,3
board,B1,2
board game,A2,1
boarding card,B1,2
boast,C1,4
boat,A1,0
body,A1,0
bogus,C2,5
boil,A2,1
boiled,A2,1
boiler,B1,2
boiling,B2,3
bold,B2,3
boldly,B1,2
bollocks,B2,3
bolt,B2,3
bomb,B1,2
bombard,B2,3
bomber,B2,3
bombing,B2,3
bona fide,C2,5
bond,B1,2
bone,A1,0
bonus,A2,1
bony,B2,3
book,B1,2
bookcase,A2,1
booking,B1,2
bookish,B2,3
booklet,B2,3
bookmark,B2,3
bookshelf,A2,1
bookshop,A2,1
bookstore,A1,0
boom,B1,2
boost,B2,3
boot,B1,2
booth,B2,3
border,B1,2
bore,B1,2
bored,A2,1
boredom,B1,2
boring,A1,0
borough,C2,5
borrow,A1,0
boss,A2,1
bossy,B2,3
botany,B2,3
both,A1,0
bother,B1,2
bothered,B2,3
bothersome,B2,3
bottle,B2,3
bottom,A1,0
bounce,B2,3
bound,B1,2
boundary,B1,2
bouquet,C1,4
bourbon,B2,3
bourgeois,C1,4
bout,C2,5
bow,B2,3
bowl,B1,2
box,A1,0
boxer,B2,3
boxing,B1,2
boy,A1,0
boyfriend,A1,0
bra,A2,1
bracelet,B1,2
bracket,B2,3
brag,B2,3
brain,A1,0
brainstorm,A2,1
brainstorming,B1,2
brainwash,C1,4
brainwashing,C1,4
brake,B2,3
branch,B1,2
brand,A2,1
brandish,C2,5
brand-new,B1,2
brass,B1,2
brave,A2,1
bravely,B1,2
bravery,B2,3
brazil,B1,2
brazilian,C1,4
breach,B2,3
bread,A1,0
breadth,C1,4
breadwinner,C2,5
break,A2,1
break down,B2,3
break out,C1,4
break up,B1,2
breakable,B2,3
breakdown,B2,3
breakfast,A1,0
breakthrough,B1,2
breakup,B2,3
breast,B1,2
breath,B1,2
breathe,A1,0
breathing,C1,4
breathless,B1,2
breathtaking,B2,3
breed,B2,3
breeding,B1,2
breeze,A2,1
breezy,B2,3
brevity,C2,5
brewery,B2,3
bribe,C1,4
bribery,C1,4
brick,B1,2
bride,A2,1
bridge,A1,0
brief,C2,5
briefing,C2,5
briefly,B1,2
brigade,C1,4
bright,A1,0
brightly,B1,2
brightness,C2,5
brilliant,A2,1
brilliantly,B2,3
brim,C2,5
brimstone,C2,5
bring,A1,0
bring back,C2,5
bring in,C2,5
bring up,B1,2
brink,C2,5
britain,A1,0
british,A1,0
broad,B1,2
broadband,B2,3
broadcast,B2,3
broadcaster,B2,3
broaden,B2,3
broadly,B2,3
broccoli,B1,2
brochure,B2,3
broken,A1,0
broker,C1,4
bronze,B1,2
brood,C2,5
brother,A1,0
brotherhood,B1,2
brother-in-law,B2,3
brouhaha,C2,5
brown,A2,1
browse,B2,3
browser,B2,3
bruise,B2,3
brush,A1,0
brutal,C2,5
bubble,B1,2
bubbly,C1,4
buccaneer,C2,5
bucket,A1,0
bud,B2,3
buddhism,C1,4
buddhist,C1,4
buddy,B1,2
budget,B2,3
buffer,C1,4
buffoon,C1,4
buffoonery,C2,5
bug,A2,1
bugger,B1,2
buggy,C1,4
build,A1,0
build up,C2,5
builder,B1,2
building,A1,0
bulb,A2,1
bulimia,B2,3
bulk,C1,4
bulk up,C1,4
bulky,C1,4
bull,B1,2
bullet,B1,2
bulletin,B1,2
bully,B2,3
bum,B2,3
bump,B1,2
bumper,B2,3
bun,B2,3
bunch,B1,2
bundle,C1,4
bung,C1,4
bungalow,C2,5
burden,B2,3
burdensome,B2,3
bureau,B1,2
bureaucracy,B2,3
bureaucratic,C1,4
bureaucratically,C1,4
burgeoning,C2,5
burger,A1,0
burglar,B1,2
burglary,B2,3
burgle,B2,3
burial,B2,3
burn,B1,2
burning,B1,2
burst,C1,4
bury,A2,1
bus,A1,0
bus station,A2,1
bus stop,A2,1
bush,A2,1
business,A1,0
businessman,A2,1
businesswoman,B2,3
bust,B1,2
bustle,B2,3
bustling,B2,3
busy,A1,0
but,B1,2
butcher,B2,3
butter,A1,0
butterfly,C1,4
button,A1,0
buy,A1,0
buyer,B1,2
buying,C2,5
buzz,B2,3
buzzard,C2,5
buzzer,C1,4
by,A1,0
by chance,B1,2
bye,A2,1
bypass,C2,5
cab,A2,1
cabbage,B1,2
cabin,B1,2
cabinet,B2,3
cable,B2,3
cafe,C1,4
café,C1,4
cafeteria,A2,1
caffeinate,C2,5
cage,B1,2
cake,A1,0
calamitous,C2,5
calamitously,C2,5
calamity,C2,5
calculate,B1,2
calculation,B1,2
calculator,B1,2
calendar,A2,1
calf,C1,4
call,A2,1
caller,B1,2
callous,C2,5
callously,C2,5
calm,B1,2
calm down,C2,5
calmly,B2,3
calmness,B1,2
calorie,C1,4
calorific,C2,5
camel,B1,2
camera,A1,0
camp,A2,1
campaign,C1,4
camping,A2,1
campsite,B1,2
campus,A2,1
can,A2,1
canada,A2,1
canadian,B1,2
canal,B1,2
cancel,B1,2
cancellation,C2,5
cancer,B1,2
candid,C1,4
candidacy,C2,5
candidate,B2,3
candidly,C1,4
candle,B1,2
candy,A1,0
cane,B2,3
canned,B1,2
cannon,C2,5
cannonball,B2,3
canoe,C1,4
canon,B2,3
canteen,B1,2
canvas,B2,3
cap,A1,0
capability,B2,3
capable,B1,2
capacious,C2,5
capacity,B1,2
capital,A2,1
capital letter,A2,1
capitalism,B2,3
capitalistic,C2,5
capsule,B1,2
captain,A2,1
caption,B2,3
captive,B2,3
capture,B1,2
car,A1,0
car park,A2,1
caravan,B2,3
carbon,B2,3
carbon dioxide,B2,3
carbon footprint,B2,3
carbon monoxide,B2,3
carbonise,C2,5
carbonize,C2,5
card,A1,0
cardboard,B2,3
cardigan,B2,3
cardinal,C2,5
care,B1,2
career,B1,2
carefree,B2,3
careful,A1,0
carefully,A1,0
careless,B1,2
carelessly,B1,2
carelessness,B1,2
carer,B2,3
caribbean,B1,2
caring,B2,3
carnival,B2,3
carpenter,C1,4
carpentry,C1,4
carpet,B1,2
carpool,B2,3
carriage,B1,2
carrier,C1,4
carrot,A2,1
carry,A1,0
carry on,B1,2
carry out,B1,2
cart,C1,4
carton,B1,2
cartoon,A1,0
carve,B2,3
cascade,C2,5
case,A1,0
cash,A2,1
cashpoint,B1,2
cassette,A2,1
cast,C1,4
castle,A2,1
casual,B1,2
casually,B2,3
casualty,B2,3
cat,A1,0
catalog,B2,3
catalogue,B2,3
catalyst,B2,3
catastrophe,B2,3
catastrophic,C2,5
catastrophically,C2,5
catch,A1,0
catch up,C2,5
catchy,B2,3
categorisation,B2,3
categorization,B2,3
categorize,B1,2
categorise,B1,2
category,B1,2
cater,B2,3
catering,B2,3
cathedral,B2,3
catholic,A2,1
cattle,B1,2
cauliflower,C1,4
cause,B2,3
caution,B1,2
cautious,B1,2
cave,B1,2
cavity,C1,4
cay,C2,5
cd,A1,0
cd player,A1,0
cd-rom,B1,2
cease,B2,3
ceaseless,C1,4
ceaselessly,C1,4
ceiling,B2,3
celebrate,A1,0
celebrated,C2,5
celebration,A1,0
celebrity,B1,2
celery,C2,5
cell,B1,2
cellar,B2,3
cellist,B2,3
cello,B2,3
cellular,C2,5
cemetery,B2,3
censorship,C2,5
census,C1,4
cent,A2,1
centre,A2,1
center,A2,1
centigrade,B2,3
centimeter,A2,1
centimetre,A2,1
central,B1,2
central heating,B1,2
centralized,C2,5
centralised,C2,5
century,A2,1
cereal,A2,1
ceremony,B1,2
certain,A2,1
certainly,A2,1
certainty,B1,2
certificate,B2,3
certification,B2,3
certify,B2,3
cessation,C1,4
chain,A2,1
chair,A1,0
chairman,A2,1
challenge,B2,3
challenging,B1,2
chamber,B1,2
champagne,A2,1
champion,B1,2
championship,A2,1
chance,A2,1
chancellor,B2,3
change,A1,0
channel,B1,2
chaos,B1,2
chaotic,B2,3
chaotically,C1,4
chap,B2,3
chapel,B2,3
chapter,A2,1
character,A1,0
characterise,C1,4
characteristic,B2,3
characterisation,C1,4
characterization,C1,4
characterize,C1,4
charge,B1,2
chariot,B1,2
charitable,C2,5
charity,B1,2
charm,B1,2
charming,B2,3
chart,C1,4
charter,C1,4
chase,B2,3
chat,B1,2
chat show,B1,2
chauffer,C1,4
cheap,A2,1
cheat,B2,3
check,A2,1
check in,B1,2
check out,B1,2
checkout,B1,2
checkpoint,B2,3
cheek,A2,1
cheeky,B2,3
cheer,A2,1
cheer up,C2,5
cheerful,B1,2
cheerfully,B2,3
cheerfulness,B2,3
cheerio,B1,2
cheers,A2,1
cheese,A1,0
chef,A2,1
chemical,B1,2
chemist,B1,2
chemistry,B1,2
chemotherapy,B2,3
cheque,A2,1
cherish,B1,2
cherished,B2,3
cherry,B2,3
chess,A2,1
chest,A2,1
chest of drawers,B1,2
chew,B2,3
chewing gum,B1,2
chicken,A1,0
chief,B2,3
child,A1,0
childcare,C2,5
childhood,A2,1
childish,B2,3
chili,A2,1
chilli,A2,1
chill,C1,4
chilly,C1,4
chimney,B2,3
chimpanzee,A2,1
chin,A2,1
china,A1,0
chinese,A2,1
chip,B2,3
chirp,A2,1
chisel,C1,4
chiselled,C1,4
chocolate,A1,0
choice,A2,1
choir,B1,2
choke,B1,2
choose,A1,0
chop,B2,3
choreographical,C2,5
choreography,C2,5
christ,A1,0
christian,B1,2
christianity,B2,3
christmas,A1,0
chronic,B2,3
chronicle,C2,5
chronological,C2,5
chronologically,C2,5
chronology,C2,5
chrysalis,C2,5
chuck,B1,2
chuckle,B1,2
chunk,B2,3
church,A1,0
churn,C1,4
cigarette,A2,1
cinema,A1,0
cinematographer,C2,5
cinematography,C2,5
circle,B1,2
circuit,C2,5
circuitry,B2,3
circular,B1,2
circulate,C1,4
circulation,C1,4
circumnavigate,C2,5
circumnavigation,C2,5
circumstance,B2,3
circumstances,A2,1
circus,B1,2
citation,C1,4
cite,C1,4
citizen,A2,1
citizenship,B1,2
city,A1,0
citywide,B2,3
civic,C1,4
civil,B1,2
civilian,B2,3
civilisation,C2,5
civilization,C2,5
claim,B1,2
clam,B2,3
clammy,C1,4
clan,C1,4
clap,B2,3
clarify,B2,3
clarity,C1,4
clash,B2,3
class,C1,4
classic,B2,3
classical,B1,2
classical music,A2,1
classification,B2,3
classify,B1,2
classmate,A1,0
classroom,A1,0
classy,C1,4
clause,B2,3
claustrophobia,C1,4
claustrophobic,C1,4
claw,C2,5
clay,B2,3
clean,A1,0
clean up,C2,5
cleaner,A2,1
cleaning,C1,4
cleanliness,C2,5
cleanly,C1,4
clear,B1,2
clearance,C1,4
